dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds
synthetic_low_medium,GraphSAGE,label_smoothing,none,conf_attack_auc,0.0801,0.05092214645908004,0.04154000000000002,0.1189,5
synthetic_low_sparse,GCN,label_smoothing,none,conf_attack_auc,0.005520000000000002,0.023124164849784343,-0.01546000000000003,0.020920000000000015,5
synthetic_low_sparse,GraphSAGE,label_smoothing,none,conf_attack_auc,0.0809,0.11229142888039138,-0.0006599999999999939,0.17391999999999996,5
Citeseer,GCN,dropedge,none,conf_attack_auc,0.010180000000000012,0.0033566352199784375,0.007940000000000036,0.012999999999999989,5
Citeseer,GraphSAGE,dropedge,none,conf_attack_auc,0.020640000000000013,0.006967639485507243,0.01456000000000004,0.025680000000000015,5
Cora,GCN,dropedge,none,conf_attack_auc,-0.008340000000000014,0.019183925562824753,-0.022160000000000048,0.0060399999999999785,5
Cora,GraphSAGE,dropedge,none,conf_attack_auc,0.03011999999999999,0.004903264218864826,0.026416000000000005,0.03387999999999998,5
PubMed,GCN,dropedge,none,conf_attack_auc,0.0006199999999999761,0.0012517987058628752,-0.00022000000000004237,0.0016599999999999614,5
PubMed,GraphSAGE,dropedge,none,conf_attack_auc,0.0008600000000000164,0.005454631059934328,-0.002960000000000007,0.005240000000000045,5
synthetic_high_dense,GCN,dropedge,none,conf_attack_auc,0.012360000000000005,0.024511283116148797,-0.005960000000000032,0.03218000000000001,5
synthetic_high_dense,GraphSAGE,dropedge,none,conf_attack_auc,0.006500000000000006,0.023533911702052424,-0.010399999999999987,0.026500000000000013,5
synthetic_low_medium,GCN,dropedge,none,conf_attack_auc,0.00576000000000001,0.055536726587007264,-0.03427999999999998,0.04965999999999997,5
synthetic_low_medium,GraphSAGE,dropedge,none,conf_attack_auc,-0.008679999999999976,0.0274535425765055,-0.028339999999999976,0.012900000000000033,5
synthetic_low_sparse,GCN,dropedge,none,conf_attack_auc,0.0005799999999999472,0.03392148286853038,-0.025440000000000063,0.026599999999999957,5
synthetic_low_sparse,GraphSAGE,dropedge,none,conf_attack_auc,-0.015439999999999987,0.10110280906087625,-0.087542,0.06844000000000001,5
