dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Citeseer,GCN,dp_sgd,label_only_attack_auc,0.5447599999999999,0.52242,-0.022340000000000006,-0.03028111837853209,-0.01439888162146792,-2.7545631951449443,0.0014499754048274097,5,0.027839527772686265,True
Citeseer,GraphSAGE,epsd_tuned,test_accuracy,0.74628,0.74628,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_tuned,test_auroc,0.9245599999999999,0.9245599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_tuned,conf_attack_auc,0.7251399999999999,0.7251399999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_tuned,threshold_attack_auc,0.7303,0.7303,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_tuned,shadow_attack_auc,0.7299,0.7299,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_tuned,label_only_attack_auc,0.6777400000000001,0.6777400000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,dropedge,test_accuracy,0.74628,0.75132,0.005039999999999978,0.0016016891230358037,0.008478310876964152,0.7930176576518251,0.01522528548299346,5,0.14376663013449562,False
Citeseer,GraphSAGE,dropedge,test_auroc,0.9245599999999999,0.9280200000000001,0.0034599999999999965,0.0003193017907768482,0.006600698209223144,0.812656740448366,0.0377057785783039,5,0.24963825817359825,False
Citeseer,GraphSAGE,dropedge,conf_attack_auc,0.7251399999999999,0.7382,0.013060000000000006,0.0028433610573375054,0.023276638942662506,1.7646393044974287,0.023816779560389818,5,0.2017421327468314,False
Citeseer,GraphSAGE,dropedge,threshold_attack_auc,0.7303,0.74368,0.013380000000000013,0.002662274555819924,0.024097725444180103,1.6302108961624384,0.025674356342338122,5,0.21432506164038778,False
Citeseer,GraphSAGE,dropedge,shadow_attack_auc,0.7299,0.7433400000000001,0.013440000000000007,0.0029328517226866833,0.023947148277313333,1.6476354741220651,0.023768009143460358,5,0.2017421327468314,False
Citeseer,GraphSAGE,dropedge,label_only_attack_auc,0.6777400000000001,0.6930999999999999,0.015359999999999952,0.008353339456426082,0.02236666054357382,1.850884537217636,0.0036838231127855857,5,0.04728509532880497,True
Citeseer,GraphSAGE,label_smoothing,test_accuracy,0.74628,0.74376,-0.0025200000000000335,-0.00906581895803938,0.004025818958039312,-0.42644538935612564,0.34534077174393596,5,1.0,False
Citeseer,GraphSAGE,label_smoothing,test_auroc,0.9245599999999999,0.9190400000000001,-0.005519999999999992,-0.007432323805499628,-0.0036076761945003557,-1.2180356594369282,0.0013149208108310377,5,0.027049799537095635,True
Citeseer,GraphSAGE,label_smoothing,conf_attack_auc,0.7251399999999999,0.79222,0.06708000000000003,0.06177895262115083,0.07238104737884922,9.581635073459442,3.916764477728702e-06,5,0.0005545574721142091,True
Citeseer,GraphSAGE,label_smoothing,threshold_attack_auc,0.7303,0.79244,0.062140000000000015,0.05579316551583967,0.06848683448416036,7.203506028291491,1.0890065879754782e-05,5,0.0008672220173136606,True
Citeseer,GraphSAGE,label_smoothing,shadow_attack_auc,0.7299,0.7923200000000001,0.06242000000000001,0.05617676327330967,0.06866323672669035,7.278539372583906,1.0018229052624698e-05,5,0.0008672220173136606,True
Citeseer,GraphSAGE,label_smoothing,label_only_attack_auc,0.6777400000000001,0.7043999999999999,0.02665999999999995,0.011467846465743288,0.041852153534256614,2.2007594218803397,0.00820633024003714,5,0.08753418922706284,False
Citeseer,GraphSAGE,confidence_masking,test_accuracy,0.74628,0.74628,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,confidence_masking,test_auroc,0.9245599999999999,0.8920199999999999,-0.03253999999999999,-0.03705341020491651,-0.028026589795083476,-7.726840583795344,3.675804461242894e-05,5,0.0015123309783399335,True
Citeseer,GraphSAGE,confidence_masking,conf_attack_auc,0.7251399999999999,0.7280599999999999,0.0029199999999999894,0.0003975572192287599,0.005442442780771219,0.37320903661616267,0.032464058523319676,5,0.2413138954102374,False
Citeseer,GraphSAGE,confidence_masking,threshold_attack_auc,0.7303,0.73226,0.001959999999999984,0.0009643434033302695,0.002955656596669698,0.19170916123336587,0.005450168638798995,5,0.0640672884887392,False
Citeseer,GraphSAGE,confidence_masking,shadow_attack_auc,0.7299,0.73216,0.002259999999999973,0.0012300922928283227,0.0032899077071716232,0.22268009302180478,0.0036704469486638046,5,0.04728509532880497,True
Citeseer,GraphSAGE,confidence_masking,label_only_attack_auc,0.6777400000000001,0.6777400000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_ablation,test_accuracy,0.74628,0.74628,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_ablation,test_auroc,0.9245599999999999,0.9245599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
